"","c","t"
"576",145.5,1664908320000
"577",145.41,1664908380000
"578",145.3884,1664908440000
"579",145.31,1664908500000
"580",145.34,1664908560000
"581",145.39,1664908620000
"582",145.49,1664908680000
"583",145.3899,1664908740000
"584",145.385,1664908800000
"585",145.4009,1664908860000
"586",145.43,1664908920000
"587",145.48,1664908980000
"588",145.57,1664909040000
"589",145.55,1664909100000
"590",145.67,1664909160000
"591",145.795,1664909220000
"592",145.9009,1664909280000
"593",145.8511,1664909340000
"594",145.92,1664909400000
"595",145.95,1664909460000
"596",145.9501,1664909520000
"597",145.94,1664909580000
"598",145.9509,1664909640000
"599",145.97,1664909700000
"600",146.07,1664909760000
"601",145.98,1664909820000
"602",145.92,1664909880000
"603",145.8639,1664909940000
"604",145.892,1.66491e+12
"605",145.875,1664910060000
"606",145.815,1664910120000
"607",145.72,1664910180000
"608",145.765,1664910240000
"609",145.7,1664910300000
"610",145.745,1664910360000
"611",145.6,1664910420000
"612",145.605,1664910480000
"613",145.53,1664910540000
"614",145.355,1664910600000
"615",145.295,1664910660000
"616",145.335,1664910720000
"617",145.42,1664910780000
"618",145.4683,1664910840000
"619",145.465,1664910900000
"620",145.645,1664910960000
"621",145.52,1664911020000
"622",145.578,1664911080000
"623",145.475,1664911140000
"624",145.43,1664911200000
"625",145.4993,1664911260000
"626",145.3763,1664911320000
"627",145.4101,1664911380000
"628",145.62,1664911440000
"629",145.54,1664911500000
"630",145.71,1664911560000
"631",145.6601,1664911620000
"632",145.67,1664911680000
"633",145.73,1664911740000
"634",145.59,1664911800000
"635",145.6915,1664911860000
"636",145.795,1664911920000
"637",145.695,1664911980000
"638",145.62,1664912040000
"639",145.58,1664912100000
"640",145.811,1664912160000
"641",145.9,1664912220000
"642",145.91,1664912280000
"643",145.85,1664912340000
"644",145.67,1664912400000
"645",145.753,1664912460000
"646",145.835,1664912520000
"647",145.755,1664912580000
"648",145.6682,1664912640000
"649",145.6201,1664912700000
"650",145.75,1664912760000
"651",145.6569,1664912820000
"652",145.67,1664912880000
"653",145.665,1664912940000
"654",145.77,1.664913e+12
"655",145.8854,1664913060000
"656",145.86,1664913120000
"657",145.895,1664913180000
"658",146.06,1664913240000
"659",146.055,1664913300000
"660",146.0001,1664913360000
"661",146.04,1664913420000
"662",145.9701,1664913480000
"663",146.16,1664913540000
"664",146.0405,1664913600000
"665",146.07,1664913660000
"666",146.11,1664913720000
"667",146.17,1664913780000
"668",146.16,1664913840000
"669",146.18,1664913900000
"670",146.1,1664913960000
